store_nbr,month_dt,zero_sales_flg,sum_unit_sales,first_act_month,mob,to_predict_flg,mobs_to_predict_list,target
1,2013-01-01,0,156864.199,2013-01-01,0.0,0,"[1.0, 2.0, 3.0]",437329.054
1,2013-02-01,0,129814.332,2013-01-01,1.0,0,"[2.0, 3.0, 4.0]",462480.374
1,2013-03-01,0,151666.228,2013-01-01,2.0,0,"[3.0, 4.0, 5.0]",464865.573
1,2013-04-01,0,155848.494,2013-01-01,3.0,0,"[4.0, 5.0, 6.0]",465774.297
1,2013-05-01,0,154965.652,2013-01-01,4.0,0,"[5.0, 6.0, 7.0]",459991.958
1,2013-06-01,0,154051.427,2013-01-01,5.0,0,"[6.0, 7.0, 8.0]",458016.01099999994
1,2013-07-01,0,156757.218,2013-01-01,6.0,0,"[7.0, 8.0, 9.0]",465674.51399999997
1,2013-08-01,0,149183.313,2013-01-01,7.0,0,"[8.0, 9.0, 10.0]",488580.81299999997
1,2013-09-01,0,152075.48,2013-01-01,8.0,0,"[9.0, 10.0, 11.0]",533486.175
1,2013-10-01,0,164415.721,2013-01-01,9.0,0,"[10.0, 11.0, 12.0]",660735.2050000001
1,2013-11-01,0,172089.612,2013-01-01,10.0,0,"[11.0, 12.0, 13.0]",648104.092
1,2013-12-01,0,196980.842,2013-01-01,11.0,1,"[12.0, 13.0, 14.0]",725037.7949
1,2014-01-01,0,291664.751,2013-01-01,12.0,1,"[13.0, 14.0, 15.0]",606511.4369999999
1,2014-02-01,0,159458.499,2013-01-01,13.0,1,"[14.0, 15.0, 16.0]",628461.1895999999
1,2014-03-01,0,273914.5449,2013-01-01,14.0,1,"[15.0, 16.0, 17.0]",531117.5621
1,2014-04-01,0,173138.3931,2013-01-01,15.0,1,"[16.0, 17.0, 18.0]",646735.4299999999
1,2014-05-01,0,181408.2516,2013-01-01,16.0,1,"[17.0, 18.0, 19.0]",639634.9173999999
1,2014-06-01,0,176570.9174,2013-01-01,17.0,1,"[18.0, 19.0, 20.0]",750608.881
1,2014-07-01,0,288756.261,2013-01-01,18.0,1,"[19.0, 20.0, 21.0]",760593.3074
1,2014-08-01,0,174307.739,2013-01-01,19.0,1,"[20.0, 21.0, 22.0]",861476.5654
1,2014-09-01,0,287544.881,2013-01-01,20.0,1,"[21.0, 22.0, 23.0]",892945.2800999999
1,2014-10-01,0,298740.6874,2013-01-01,21.0,1,"[22.0, 23.0, 24.0]",787397.5966999999
1,2014-11-01,0,275190.997,2013-01-01,22.0,1,"[23.0, 24.0, 25.0]",677022.0497000001
1,2014-12-01,0,319013.5957,2013-01-01,23.0,1,"[24.0, 25.0, 26.0]",554766.598
1,2015-01-01,0,193193.004,2013-01-01,24.0,1,"[25.0, 26.0, 27.0]",551113.706
1,2015-02-01,0,164815.45,2013-01-01,25.0,1,"[26.0, 27.0, 28.0]",596262.1699999999
1,2015-03-01,0,196758.144,2013-01-01,26.0,1,"[27.0, 28.0, 29.0]",704458.595
1,2015-04-01,0,189540.112,2013-01-01,27.0,1,"[28.0, 29.0, 30.0]",817525.3470000001
1,2015-05-01,0,209963.914,2013-01-01,28.0,1,"[29.0, 30.0, 31.0]",900575.7339999999
1,2015-06-01,0,304954.569,2013-01-01,29.0,1,"[30.0, 31.0, 32.0]",907250.7720000001
1,2015-07-01,0,302606.864,2013-01-01,30.0,1,"[31.0, 32.0, 33.0]",919277.0160000001
1,2015-08-01,0,293014.301,2013-01-01,31.0,1,"[32.0, 33.0, 34.0]",916628.496
1,2015-09-01,0,311629.607,2013-01-01,32.0,1,"[33.0, 34.0, 35.0]",954103.884
1,2015-10-01,0,314633.108,2013-01-01,33.0,1,"[34.0, 35.0, 36.0]",953169.2740000001
